year,average_rank,amount
1981,9935.0,132
1982,10889.0,103
1983,10020.0,102
1984,10794.0,86
1985,10069.0,114
1986,9915.0,129
1987,10238.0,112
1988,10766.0,112
1989,10166.0,109
1990,10011.0,119
1991,10173.0,146
1992,9202.0,166
1993,9785.0,150
1994,9453.0,139
1995,9122.0,176
1996,10437.0,173
1997,9790.0,188
1998,9504.0,193
1999,9048.0,216
2000,9537.0,232
2001,9295.0,251
2002,8792.0,284
2003,9069.0,336
2004,8869.0,413
2005,9035.0,448
2006,9005.0,420
2007,8928.0,465
2008,7974.0,483
2009,7878.0,537
2010,7614.0,613
2011,7662.0,636
2012,7422.0,709
2013,7466.0,740
2014,7439.0,846
2015,6878.0,956
2016,6948.0,1044
2017,6524.0,1021
2018,6384.0,853
2019,6346.0,154
2020,9426.0,5
