,type,year,average_rank,amount
0,Abstract Strategy,1981,11069.0,7
1,Abstract Strategy,1982,12207.0,7
2,Abstract Strategy,1983,9937.0,8
3,Abstract Strategy,1984,9882.0,4
4,Abstract Strategy,1985,10467.0,8
5,Abstract Strategy,1986,10164.0,8
6,Abstract Strategy,1987,11223.0,8
7,Abstract Strategy,1988,9450.0,7
8,Abstract Strategy,1989,11399.0,6
9,Abstract Strategy,1990,9783.0,4
10,Abstract Strategy,1991,7883.0,5
11,Abstract Strategy,1992,5600.0,9
12,Abstract Strategy,1993,9223.0,10
13,Abstract Strategy,1994,9756.0,9
14,Abstract Strategy,1995,9224.0,9
15,Abstract Strategy,1996,9395.0,11
16,Abstract Strategy,1997,9495.0,19
17,Abstract Strategy,1998,7846.0,13
18,Abstract Strategy,1999,7972.0,20
19,Abstract Strategy,2000,7886.0,17
20,Abstract Strategy,2001,7787.0,24
21,Abstract Strategy,2002,8659.0,27
22,Abstract Strategy,2003,8151.0,33
23,Abstract Strategy,2004,9217.0,34
24,Abstract Strategy,2005,8619.0,32
25,Abstract Strategy,2006,8499.0,36
26,Abstract Strategy,2007,9877.0,43
27,Abstract Strategy,2008,8617.0,38
28,Abstract Strategy,2009,8998.0,33
29,Abstract Strategy,2010,9025.0,43
30,Abstract Strategy,2011,9693.0,49
31,Abstract Strategy,2012,7743.0,39
32,Abstract Strategy,2013,8749.0,51
33,Abstract Strategy,2014,8243.0,42
34,Abstract Strategy,2015,8246.0,42
35,Abstract Strategy,2016,7544.0,59
36,Abstract Strategy,2017,6314.0,46
37,Abstract Strategy,2018,6568.0,48
38,Abstract Strategy,2019,6086.0,3
39,Abstract Strategy,2020,6086.0,0
40,Adventure,1981,8183.0,8
41,Adventure,1982,8518.0,8
42,Adventure,1983,12812.0,5
43,Adventure,1984,14525.0,5
44,Adventure,1985,8324.0,7
45,Adventure,1986,10374.0,8
46,Adventure,1987,8742.0,9
47,Adventure,1988,11088.0,4
48,Adventure,1989,11164.0,10
49,Adventure,1990,11508.0,8
50,Adventure,1991,10428.0,10
51,Adventure,1992,9960.0,5
52,Adventure,1993,11890.0,8
53,Adventure,1994,9906.0,3
54,Adventure,1995,8462.0,6
55,Adventure,1996,11667.0,4
56,Adventure,1997,13363.0,1
