,mechanic,year,average_rank,amount
0,Action Point Allowance,1981,12296.0,7
1,Action Point Allowance,1982,8124.0,3
2,Action Point Allowance,1983,9251.0,4
3,Action Point Allowance,1984,9251.0,0
4,Action Point Allowance,1985,9693.0,5
5,Action Point Allowance,1986,11173.0,5
6,Action Point Allowance,1987,7330.0,6
7,Action Point Allowance,1988,8976.0,2
8,Action Point Allowance,1989,4113.0,3
9,Action Point Allowance,1990,9275.0,4
10,Action Point Allowance,1991,10781.0,6
11,Action Point Allowance,1992,6132.0,5
12,Action Point Allowance,1993,8931.0,7
13,Action Point Allowance,1994,8497.0,4
14,Action Point Allowance,1995,9312.0,4
15,Action Point Allowance,1996,8378.0,8
16,Action Point Allowance,1997,8351.0,5
17,Action Point Allowance,1998,8498.0,4
18,Action Point Allowance,1999,3692.0,4
19,Action Point Allowance,2000,8012.0,5
20,Action Point Allowance,2001,9427.0,15
21,Action Point Allowance,2002,6274.0,18
22,Action Point Allowance,2003,8347.0,23
23,Action Point Allowance,2004,5886.0,21
24,Action Point Allowance,2005,5710.0,24
25,Action Point Allowance,2006,8463.0,31
26,Action Point Allowance,2007,5557.0,11
27,Action Point Allowance,2008,5020.0,24
28,Action Point Allowance,2009,5150.0,41
29,Action Point Allowance,2010,5940.0,39
30,Action Point Allowance,2011,6029.0,48
31,Action Point Allowance,2012,5250.0,46
32,Action Point Allowance,2013,5170.0,52
33,Action Point Allowance,2014,4976.0,51
34,Action Point Allowance,2015,4986.0,77
35,Action Point Allowance,2016,5710.0,87
36,Action Point Allowance,2017,5174.0,69
37,Action Point Allowance,2018,5233.0,58
38,Action Point Allowance,2019,6244.0,20
39,Action Point Allowance,2020,8663.0,1
40,Area Control,1981,0,0
41,Area Control,1982,0,0
42,Area Control,1983,9024.0,3
43,Area Control,1984,10550.0,2
44,Area Control,1985,8908.0,4
45,Area Control,1986,8611.0,4
46,Area Control,1987,3026.0,1
47,Area Control,1988,2492.0,2
48,Area Control,1989,7033.0,1
49,Area Control,1990,7033.0,0
50,Area Control,1991,5887.0,4
51,Area Control,1992,3272.0,5
52,Area Control,1993,8615.0,5
53,Area Control,1994,4581.0,7
54,Area Control,1995,5703.0,6
55,Area Control,1996,4155.0,5
56,Area Control,1997,6216.0,9
57,Area Control,1998,3316.0,8
58,Area Control,1999,4281.0,14
59,Area Control,2000,2384.0,12
60,Area Control,2001,4297.0,17
61,Area Control,2002,1899.0,12
62,Area Control,2003,2969.0,16
63,Area Control,2004,3005.0,26
64,Area Control,2005,3103.0,28
65,Area Control,2006,4868.0,27
66,Area Control,2007,4976.0,40
67,Area Control,2008,6370.0,45
68,Area Control,2009,5643.0,47
69,Area Control,2010,4585.0,46
70,Area Control,2011,5799.0,64
71,Area Control,2012,5994.0,83
72,Area Control,2013,5366.0,86
73,Area Control,2014,4963.0,90
74,Area Control,2015,5479.0,110
75,Area Control,2016,5691.0,116
76,Area Control,2017,5608.0,126
77,Area Control,2018,5269.0,112
78,Area Control,2019,7228.0,18
79,Area Control,2020,7228.0,0
80,Area Movement,1981,8769.0,9
81,Area Movement,1982,10544.0,9
82,Area Movement,1983,9374.0,6
83,Area Movement,1984,11701.0,6
84,Area Movement,1985,7484.0,4
85,Area Movement,1986,8865.0,13
86,Area Movement,1987,7040.0,2
87,Area Movement,1988,12675.0,4
88,Area Movement,1989,10303.0,9
89,Area Movement,1990,9265.0,6
90,Area Movement,1991,9541.0,5
91,Area Movement,1992,10168.0,6
92,Area Movement,1993,9853.0,9
93,Area Movement,1994,7926.0,8
94,Area Movement,1995,9121.0,17
95,Area Movement,1996,9270.0,3
96,Area Movement,1997,10640.0,6
97,Area Movement,1998,6569.0,3
98,Area Movement,1999,6231.0,13
99,Area Movement,2000,15313.0,3
100,Area Movement,2001,8104.0,12
101,Area Movement,2002,9765.0,18
102,Area Movement,2003,8198.0,16
103,Area Movement,2004,7480.0,28
104,Area Movement,2005,6637.0,29
105,Area Movement,2006,8699.0,36
106,Area Movement,2007,9101.0,28
107,Area Movement,2008,6382.0,38
108,Area Movement,2009,6959.0,37
109,Area Movement,2010,6202.0,40
110,Area Movement,2011,5544.0,44
111,Area Movement,2012,5492.0,55
112,Area Movement,2013,6641.0,51
113,Area Movement,2014,7095.0,46
114,Area Movement,2015,5829.0,51
115,Area Movement,2016,5947.0,48
116,Area Movement,2017,5702.0,58
117,Area Movement,2018,5629.0,41
118,Area Movement,2019,5380.0,19
119,Area Movement,2020,9772.0,2
120,Auction,1981,13256.0,5
121,Auction,1982,14536.0,6
122,Auction,1983,16500.0,2
123,Auction,1984,12239.0,3
124,Auction,1985,11586.0,6
125,Auction,1986,2681.0,4
126,Auction,1987,7506.0,5
127,Auction,1988,9600.0,2
128,Auction,1989,14438.0,2
129,Auction,1990,4003.0,3
130,Auction,1991,10201.0,4
131,Auction,1992,6244.0,8
132,Auction,1993,11299.0,7
133,Auction,1994,8920.0,11
134,Auction,1995,7410.0,15
135,Auction,1996,10282.0,20
136,Auction,1997,11832.0,19
137,Auction,1998,9940.0,19
138,Auction,1999,9194.0,16
139,Auction,2000,9872.0,28
140,Auction,2001,8117.0,38
141,Auction,2002,7847.0,23
142,Auction,2003,7902.0,23
143,Auction,2004,6249.0,23
144,Auction,2005,8190.0,32
145,Auction,2006,8649.0,35
146,Auction,2007,6128.0,39
147,Auction,2008,6522.0,35
148,Auction,2009,5248.0,41
149,Auction,2010,6900.0,56
150,Auction,2011,5948.0,40
151,Auction,2012,7572.0,39
152,Auction,2013,7436.0,38
153,Auction,2014,6351.0,45
154,Auction,2015,6038.0,43
155,Auction,2016,7617.0,49
156,Auction,2017,6375.0,44
157,Auction,2018,6682.0,44
158,Auction,2019,8619.0,2
159,Auction,2020,7184.0,1
160,Card Drafting,1981,0,0
161,Card Drafting,1982,15682.0,1
162,Card Drafting,1983,13066.0,1
163,Card Drafting,1984,13066.0,0
164,Card Drafting,1985,10550.0,1
165,Card Drafting,1986,8016.0,2
166,Card Drafting,1987,8596.0,2
167,Card Drafting,1988,13653.0,3
168,Card Drafting,1989,9617.0,1
169,Card Drafting,1990,9898.0,3
170,Card Drafting,1991,13894.0,2
171,Card Drafting,1992,3526.0,2
172,Card Drafting,1993,8398.0,5
173,Card Drafting,1994,13023.0,3
174,Card Drafting,1995,8495.0,8
175,Card Drafting,1996,7957.0,10
176,Card Drafting,1997,9633.0,5
177,Card Drafting,1998,5875.0,13
178,Card Drafting,1999,5388.0,6
179,Card Drafting,2000,4061.0,9
180,Card Drafting,2001,6825.0,12
181,Card Drafting,2002,8889.0,14
182,Card Drafting,2003,7794.0,23
183,Card Drafting,2004,7999.0,29
184,Card Drafting,2005,7089.0,36
