,primary,yearpublished,Board Game Rank,image,type
0,Imperial,2006,161,https://cf.geekdo-images.com/original/img/XF_XEH6FX0LkeKiN_2DKSFabOiQ=/0x0/pic840712.jpg,Rondel
1,Navegador,2010,187,https://cf.geekdo-images.com/original/img/mS2CkGdFkp6sJAdZaA10PYo_QAc=/0x0/pic3246725.jpg,Rondel
2,Finca,2009,570,https://cf.geekdo-images.com/original/img/KeoVAINZb1SoAAryxKfNGbcramc=/0x0/pic433784.jpg,Rondel
3,Imperial 2030,2009,190,https://cf.geekdo-images.com/original/img/Cc9-dWijiEkRAu7di4LSXJ0FNvU=/0x0/pic586346.jpg,Rondel
4,Antike,2005,641,https://cf.geekdo-images.com/original/img/WQVgWSzLrghtP92mpv3_RkIixtQ=/0x0/pic171444.jpg,Rondel
5,Teotihuacan: City of Gods,2018,98,https://cf.geekdo-images.com/original/img/gzpgd8o15PVOgMhmcd57QijX57Q=/0x0/pic4583626.jpg,Rondel
6,Shipyard,2009,477,https://cf.geekdo-images.com/original/img/i313pRyvC3Wn_6jY2mtgujMGsMM=/0x0/pic1809442.jpg,Rondel
7,Hamburgum,2007,787,https://cf.geekdo-images.com/original/img/N0V6h4mLs8saHN_4dbkomsYG9Fo=/0x0/pic260141.jpg,Rondel
8,Seeland,2010,1233,https://cf.geekdo-images.com/original/img/ZraJVQb54A4ig2fhiQttXpBVfBo=/0x0/pic626413.jpg,Rondel
9,Antike Duellum,2012,1161,https://cf.geekdo-images.com/original/img/6IqdOMpmgKH9foeIWXbcxuNrZtQ=/0x0/pic1282841.jpg,Rondel
10,Dead of Winter: A Crossroads Game,2014,78,https://cf.geekdo-images.com/original/img/pOYQOSR1CnXcN6pEPx3yFDjKFaA=/0x0/pic3016500.jpg,Hidden Traitor
11,The Resistance,2009,207,https://cf.geekdo-images.com/original/img/VDXFwn8wDc4yObdS5kUABZK6nhI=/0x0/pic2576459.jpg,Hidden Traitor
12,Betrayal at House on the Hill,2004,459,https://cf.geekdo-images.com/original/img/0Rb-Vnb2ImPLxv0jBU2dmUolbOU=/0x0/pic828598.jpg,Hidden Traitor
13,Battlestar Galactica: The Board Game,2008,66,https://cf.geekdo-images.com/original/img/-hZFpTm-evjyuLD_bj-y845-4f8=/0x0/pic354500.jpg,Hidden Traitor
14,Shadows over Camelot,2005,349,https://cf.geekdo-images.com/original/img/qXAmMBPotbufchHTuIsGz59B010=/0x0/pic70547.jpg,Hidden Traitor
