,mechanic,year,average_rank,amount
0,Action Programming,1981,5948.0,4
1,Action Programming,1982,6303.0,3
2,Action Programming,1983,6303.0,0
3,Action Programming,1984,10783.0,2
4,Action Programming,1985,12084.0,1
5,Action Programming,1986,12084.0,0
6,Action Programming,1987,2980.0,1
7,Action Programming,1988,16278.0,1
8,Action Programming,1989,5663.0,1
9,Action Programming,1990,5663.0,0
10,Action Programming,1991,11117.0,3
11,Action Programming,1992,9323.0,3
12,Action Programming,1993,9323.0,0
13,Action Programming,1994,2882.0,2
14,Action Programming,1995,2882.0,0
15,Action Programming,1996,2882.0,0
16,Action Programming,1997,2348.0,1
17,Action Programming,1998,10989.0,3
18,Action Programming,1999,4560.0,2
19,Action Programming,2000,3759.0,2
20,Action Programming,2001,9712.0,3
21,Action Programming,2002,7496.0,5
22,Action Programming,2003,9116.0,3
23,Action Programming,2004,7830.0,5
24,Action Programming,2005,2300.0,4
25,Action Programming,2006,6438.0,3
26,Action Programming,2007,2475.0,5
27,Action Programming,2008,6827.0,4
28,Action Programming,2009,3745.0,6
29,Action Programming,2010,4742.0,7
30,Action Programming,2011,4428.0,2
31,Action Programming,2012,2780.0,10
32,Action Programming,2013,4535.0,26
33,Action Programming,2014,7634.0,20
34,Action Programming,2015,4192.0,21
35,Action Programming,2016,7118.0,41
36,Action Programming,2017,6272.0,39
37,Action Programming,2018,6563.0,47
38,Action Programming,2019,6182.0,10
39,Action Programming,2020,6182.0,0
40,Action Point Allowance,1981,12296.0,7
41,Action Point Allowance,1982,8124.0,3
42,Action Point Allowance,1983,9251.0,4
43,Action Point Allowance,1984,9251.0,0
44,Action Point Allowance,1985,9693.0,5
45,Action Point Allowance,1986,11173.0,5
46,Action Point Allowance,1987,7330.0,6
47,Action Point Allowance,1988,8976.0,2
48,Action Point Allowance,1989,4113.0,3
49,Action Point Allowance,1990,9275.0,4
50,Action Point Allowance,1991,10781.0,6
51,Action Point Allowance,1992,6132.0,5
52,Action Point Allowance,1993,8931.0,7
53,Action Point Allowance,1994,8497.0,4
54,Action Point Allowance,1995,9312.0,4
55,Action Point Allowance,1996,8378.0,8
56,Action Point Allowance,1997,8351.0,5
57,Action Point Allowance,1998,8498.0,4
58,Action Point Allowance,1999,3692.0,4
59,Action Point Allowance,2000,8012.0,5
60,Action Point Allowance,2001,9427.0,15
61,Action Point Allowance,2002,6274.0,18
62,Action Point Allowance,2003,8347.0,23
63,Action Point Allowance,2004,5886.0,21
64,Action Point Allowance,2005,5710.0,24
